run_id,network,dim,N,alpha_target,t,family,rep,dataset_seed,sample_seed,materialize_join
correctness_d4_N2000_a10_t200000_F1_rep0,correctness,4,2000,10.0,200000,F1,0,1590179671731348692,5411448163403142624,1
correctness_d4_N2000_a100_t200000_F1_rep0,correctness,4,2000,100.0,200000,F1,0,186795761065270140,5240397732639436814,1
density_d4_N50000_a0p1_t200000_F1_rep0,density,4,50000,0.1,200000,F1,0,5358064500401852808,6498036494773513947,0
density_d4_N50000_a1_t200000_F1_rep0,density,4,50000,1.0,200000,F1,0,3800251776779270003,6620400840273438282,0
density_d4_N50000_a10_t200000_F1_rep0,density,4,50000,10.0,200000,F1,0,1933807946014145244,7034937420004328326,0
density_d4_N50000_a100_t200000_F1_rep0,density,4,50000,100.0,200000,F1,0,4499591530891522393,5198404991373978406,0
input_size_d4_N10000_a10_t200000_F1_rep0,input_size,4,10000,10.0,200000,F1,0,4996711844287627031,1608007281829919917,0
input_size_d4_N50000_a10_t200000_F1_rep0,input_size,4,50000,10.0,200000,F1,0,1933807946014145244,5649746993076595383,0
input_size_d4_N100000_a10_t200000_F1_rep0,input_size,4,100000,10.0,200000,F1,0,953568518528924017,3192037325806895300,0
sample_size_d4_N50000_a10_t10000_F1_rep0,sample_size,4,50000,10.0,10000,F1,0,1933807946014145244,5874773045390341138,0
sample_size_d4_N50000_a10_t50000_F1_rep0,sample_size,4,50000,10.0,50000,F1,0,1933807946014145244,2051047797210503124,0
sample_size_d4_N50000_a10_t200000_F1_rep0,sample_size,4,50000,10.0,200000,F1,0,1933807946014145244,1489310164786275437,0
sample_size_d4_N50000_a10_t1000000_F1_rep0,sample_size,4,50000,10.0,1000000,F1,0,1933807946014145244,6889737896298142169,0
density_d4_N50000_a0p1_t200000_F1_rep1,density,4,50000,0.1,200000,F1,1,1218274761581617548,4107734717662932430,0
density_d4_N50000_a1_t200000_F1_rep1,density,4,50000,1.0,200000,F1,1,7503099133055879049,4233843296965936416,0
density_d4_N50000_a10_t200000_F1_rep1,density,4,50000,10.0,200000,F1,1,526045969250907296,1596702833778073948,0
density_d4_N50000_a100_t200000_F1_rep1,density,4,50000,100.0,200000,F1,1,4902159599526192937,6893203362017920195,0
input_size_d4_N10000_a10_t200000_F1_rep1,input_size,4,10000,10.0,200000,F1,1,5190347102263308159,7281874863218838463,0
input_size_d4_N50000_a10_t200000_F1_rep1,input_size,4,50000,10.0,200000,F1,1,526045969250907296,7549681015064170180,0
input_size_d4_N100000_a10_t200000_F1_rep1,input_size,4,100000,10.0,200000,F1,1,5980072502773183681,8548236578943982126,0
sample_size_d4_N50000_a10_t10000_F1_rep1,sample_size,4,50000,10.0,10000,F1,1,526045969250907296,7352364551360870004,0
sample_size_d4_N50000_a10_t50000_F1_rep1,sample_size,4,50000,10.0,50000,F1,1,526045969250907296,401434740636980408,0
sample_size_d4_N50000_a10_t200000_F1_rep1,sample_size,4,50000,10.0,200000,F1,1,526045969250907296,8688932769454471207,0
sample_size_d4_N50000_a10_t1000000_F1_rep1,sample_size,4,50000,10.0,1000000,F1,1,526045969250907296,178596435234215850,0
density_d4_N50000_a0p1_t200000_F1_rep2,density,4,50000,0.1,200000,F1,2,7665245557770219604,1371118324759012850,0
density_d4_N50000_a1_t200000_F1_rep2,density,4,50000,1.0,200000,F1,2,7121500266527720677,4391389032690502191,0
density_d4_N50000_a10_t200000_F1_rep2,density,4,50000,10.0,200000,F1,2,1948884511884307501,6140534991214098870,0
density_d4_N50000_a100_t200000_F1_rep2,density,4,50000,100.0,200000,F1,2,4175941703287033899,1968145967605714159,0
input_size_d4_N10000_a10_t200000_F1_rep2,input_size,4,10000,10.0,200000,F1,2,765875602568094138,6855669837564634892,0
input_size_d4_N50000_a10_t200000_F1_rep2,input_size,4,50000,10.0,200000,F1,2,1948884511884307501,6697978758731521248,0
input_size_d4_N100000_a10_t200000_F1_rep2,input_size,4,100000,10.0,200000,F1,2,2622102645940068100,3345078028256671513,0
sample_size_d4_N50000_a10_t10000_F1_rep2,sample_size,4,50000,10.0,10000,F1,2,1948884511884307501,7146682023592968903,0
sample_size_d4_N50000_a10_t50000_F1_rep2,sample_size,4,50000,10.0,50000,F1,2,1948884511884307501,7007333728703207677,0
sample_size_d4_N50000_a10_t200000_F1_rep2,sample_size,4,50000,10.0,200000,F1,2,1948884511884307501,7417951000361290673,0
sample_size_d4_N50000_a10_t1000000_F1_rep2,sample_size,4,50000,10.0,1000000,F1,2,1948884511884307501,6340091287829554216,0
correctness_d5_N2000_a0p1_t200000_F0_rep0,correctness,5,2000,0.1,200000,F0,0,278128943759086888,748323377671031617,1
